mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.8367677211761475,0.5185229698720406,0.005662727355957031,0.0010306056068423474,0.1,"(100,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,)}",0.8028661889685053,0.8105,0.8196666666666667,0.8303333333333334,0.8241373562260377,0.8175,0.00976340269428284,5,0.8248677028209509,0.823375,0.822875,0.815625,0.8189658764218157,0.8211417158485533,0.0033776690759711857
1.1153383255004883,0.24012154415872364,0.002552175521850586,0.00020090602117788872,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",0.8028661889685053,0.8078333333333333,0.8211666666666667,0.834,0.8233038839806635,0.8178333333333333,0.011193273918973302,1,0.8243676819867495,0.82225,0.8221666666666667,0.8180833333333334,0.8191742010749552,0.821208376612341,0.002275446117633799
2.4207100868225098,0.7942945201272041,0.00511326789855957,0.00038214815727439914,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",0.8041993001166472,0.8101666666666667,0.8198333333333333,0.8311666666666667,0.8144690781796966,0.8159666666666666,0.009169160295257599,12,0.826659444143506,0.8290416666666667,0.8229166666666666,0.8239583333333333,0.816215991000375,0.8237584203621096,0.004335098283809838
2.170988845825195,0.8375626957424434,0.005535411834716797,0.0009083112233868767,0.01,"(100,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,)}",0.8001999666722213,0.8098333333333333,0.8191666666666667,0.8305,0.8231371895315887,0.8165666666666667,0.010557591055714653,8,0.8254927288637026,0.8273333333333334,0.8234166666666667,0.8162083333333333,0.8191325361443274,0.8223167196682727,0.0040966996180887855
1.0403016567230225,0.1189367840113076,0.0029932975769042967,0.0009815036970899753,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",0.8038660223296117,0.8076666666666666,0.819,0.8341666666666666,0.8233038839806635,0.8176,0.010920329714004478,4,0.8261594233093046,0.822375,0.8209583333333333,0.8180833333333334,0.8189658764218157,0.8213083932795575,0.002852405339256501
2.07871470451355,0.5266395877462468,0.005694437026977539,0.0008934533016369487,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",0.8025329111814697,0.8091666666666667,0.8201666666666667,0.8315,0.8191365227537923,0.8165,0.009942679711605309,9,0.8259094128922039,0.826625,0.8217916666666667,0.820625,0.8251322861547435,0.8240166731427229,0.002370001083198399
2.474739837646484,0.8796638932383272,0.006214427947998047,0.001727831094854393,0.001,"(100,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,)}",0.8041993001166472,0.8103333333333333,0.8191666666666667,0.8308333333333333,0.821636939489915,0.8172333333333334,0.009226165283939556,6,0.8261177549064544,0.826625,0.8234583333333333,0.8161666666666667,0.8220907462189075,0.8228917002250725,0.0037558922449344467
1.1248558521270753,0.1303807622600743,0.0026219844818115234,0.00013843204400230762,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",0.8041993001166472,0.8076666666666666,0.8186666666666667,0.8346666666666667,0.8231371895315887,0.8176666666666667,0.010966511047412612,3,0.8262844285178549,0.822125,0.8210833333333334,0.8185833333333333,0.8190075413524437,0.8214167273073929,0.002761869482836826
1.9765449047088623,0.6617317039633842,0.005618762969970703,0.0004885444034441476,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",0.8035327445425763,0.8081666666666667,0.8165,0.8323333333333334,0.821636939489915,0.8164333333333333,0.010145719836616785,10,0.8275761490062086,0.8260416666666667,0.8158333333333333,0.8249583333333333,0.8194241906587225,0.822766734599653,0.00442500633002627
2.485968828201294,0.9462819460289457,0.0061550140380859375,0.0015131035819364342,0.0001,"(100,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,)}",0.8031994667555408,0.8086666666666666,0.8193333333333334,0.8308333333333333,0.8209701616936156,0.8166,0.0097128370430807,7,0.825951081295054,0.8270833333333333,0.8232083333333333,0.816125,0.8217990917045123,0.8228333679332465,0.003846943441349897
1.0421900272369384,0.12038643155678534,0.0026790142059326173,0.00015018270739368733,0.0001,"(50,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}",0.8041993001166472,0.8073333333333333,0.8186666666666667,0.8346666666666667,0.8236372728788132,0.8177,0.01107984304515068,2,0.8262844285178549,0.8222916666666666,0.8210833333333334,0.8181666666666667,0.81888254656056,0.8213417283490163,0.00288194474290909
2.246320962905884,0.5514646708617248,0.005529594421386719,0.0003845724169551929,0.0001,"(50, 50)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50)}",0.8026995500749875,0.8088333333333333,0.8185,0.8301666666666667,0.8201366894482414,0.8160666666666667,0.009511299940180571,11,0.8282011750489604,0.8267916666666667,0.821625,0.8229166666666666,0.8252572809466272,0.8249583578657841,0.0024185126447920824
