,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9849835395812988,0.9798145382305609,0.0011044025421142578,0.00014816577411994945,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 2}",0.43765903307888043,0.46564885496183206,0.4495530012771392,0.4475703324808184,0.47503201024327785,0.4550791220010209,0.013416620792383873,130,0.46871008939974457,0.454661558109834,0.45933014354066987,0.4630102040816326,0.4574434172776538,0.460631082481907,0.004866609603754047
1,0.40633134841918944,0.10610727945235462,0.0009952068328857421,2.3428189271046153e-06,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",0.4262086513994911,0.4669211195928753,0.4495530012771392,0.4680306905370844,0.4379001280409731,0.4497192445125064,0.01627963002908613,143,0.4734993614303959,0.46807151979565775,0.45422647527910687,0.45567602040816324,0.4430985017532674,0.45891437573331817,0.010762716393139818
2,0.6192858695983887,0.36469502059512793,0.0009318828582763672,1.0764909076550422e-05,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",0.4961832061068702,0.5165394402035624,0.454661558109834,0.5345268542199488,0.5326504481434059,0.5068912710566615,0.029521991372575104,71,0.5166028097062579,0.518837803320562,0.4484848484848485,0.5255102040816326,0.5285304430985017,0.5075932217383606,0.029869042748502134
3,0.5140495300292969,0.10087214248941459,0.0009679794311523438,1.2451751253728929e-05,0.1,"(100,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",0.4580152671755725,0.5139949109414759,0.5274584929757343,0.5063938618925832,0.48911651728553135,0.49897907095456867,0.023965012989762613,97,0.47541507024265645,0.5367177522349936,0.5237639553429028,0.5066964285714286,0.4791201785145043,0.5043426769812971,0.024099180724507407
4,0.676360034942627,0.1374437015068759,0.0009877681732177734,9.224057098200197e-06,0.1,"(100,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",0.4821882951653944,0.5139949109414759,0.5274584929757343,0.510230179028133,0.5403329065300896,0.5148034711587545,0.01948410791881602,50,0.5047892720306514,0.5399106002554278,0.5419457735247208,0.5277423469387755,0.5377749442142175,0.5304325873927587,0.013719427122795507
5,0.707541561126709,0.19366391921146814,0.0010098457336425782,6.4814782476601394e-06,0.1,"(100,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",0.49872773536895676,0.5241730279898219,0.5197956577266922,0.520460358056266,0.5339308578745199,0.5193976518631955,0.011517175537287901,35,0.5127713920817369,0.5443805874840357,0.5157894736842106,0.5070153061224489,0.5304430985017533,0.5220799715748371,0.013567781860046488
6,0.6676956653594971,0.069901714262221,0.0010364055633544922,7.388668315327196e-06,0.1,"(100,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",0.4770992366412214,0.5165394402035624,0.5070242656449553,0.49744245524296676,0.5211267605633803,0.5038284839203675,0.015670641031590455,86,0.49776500638569604,0.5280970625798213,0.5138755980861244,0.5044642857142857,0.5272553394963341,0.5142914584524523,0.012070847516445424
7,0.7735586643218995,0.14275698898709602,0.001041078567504883,8.235075739645533e-06,0.1,"(100,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",0.5152671755725191,0.5012722646310432,0.5095785440613027,0.520460358056266,0.5326504481434059,0.5158244002041859,0.010538788025775446,47,0.5178799489144317,0.5325670498084292,0.5218500797448166,0.49394132653061223,0.5380937201147593,0.5208664250226098,0.01528745800668991
8,0.8494277954101562,0.061297782539387204,0.0011352062225341796,6.337461830614665e-05,0.1,"(100,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",0.5330788804071247,0.5089058524173028,0.5172413793103449,0.520460358056266,0.5556978233034571,0.5270546197039305,0.016273424881416667,13,0.5431034482758621,0.5325670498084292,0.538755980861244,0.5165816326530612,0.5406439273190947,0.5343304077835382,0.009534578285928972
9,0.9831153869628906,0.08010552314142828,0.001178407669067383,7.232671925787784e-05,0.1,"(100,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",0.49236641221374045,0.5190839694656488,0.5504469987228607,0.5613810741687979,0.49295774647887325,0.523226135783563,0.028561581536607327,20,0.5124521072796935,0.5303320561941252,0.5470494417862839,0.5500637755102041,0.49729040484539366,0.5274375571231401,0.02019091083076536
10,0.9963185787200928,0.10938864012343442,0.001154947280883789,2.6428739821283234e-05,0.1,"(100,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 60}",0.5139949109414759,0.5076335877862596,0.5172413793103449,0.49744245524296676,0.5224071702944942,0.5117406840224604,0.008598486167289058,56,0.5338441890166028,0.5300127713920817,0.5381180223285487,0.4968112244897959,0.5196047178833281,0.5236781850220714,0.014767601199292666
