,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
108,0.9802053769429525,0.04774979038005376,0.007333040237426758,0.0014800207468378694,0.0001,"(100,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 2}",0.7788,0.7788,0.7788,0.7788000000000002,1.1102230246251565e-16,133,0.7788,0.7788,0.7788,0.7788,0.0
109,1.619520664215088,0.10813363185616146,0.010572036107381185,0.0007773937561274506,0.0001,"(100,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",0.7992,0.8044,0.8083,0.8039666666666667,0.0037276742823851364,92,0.8072,0.80505,0.8008,0.80435,0.002659260548849406
110,2.472790479660034,0.20899595384082148,0.011325597763061523,0.0002157283713443436,0.0001,"(100,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",0.7966,0.8018,0.8057,0.8013666666666667,0.0037276742823851364,126,0.80555,0.7999,0.80055,0.802,0.0025242160499185837
111,3.298965056737264,0.34769002582418196,0.010324319203694662,0.0006761637306617836,0.0001,"(100,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",0.7962,0.8038,0.8096,0.8032,0.005486954224947252,104,0.8054,0.8031,0.80285,0.8037833333333334,0.0011477030200457959
112,4.980418682098389,0.5895038956504669,0.011983950932820639,0.0008808150032029138,0.0001,"(100,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",0.8003,0.8038,0.8149,0.8063333333333333,0.006223789485157362,42,0.8081,0.8032,0.80755,0.8062833333333334,0.002191777563734258
113,4.389181296030681,0.45151056359339153,0.01148835817972819,0.0005289446555790867,0.0001,"(100,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",0.7985,0.8066,0.8089,0.8046666666666666,0.004460443425888894,73,0.80625,0.8066,0.80345,0.8054333333333332,0.0014096886969193678
114,4.797095934549968,0.21637635299772437,0.010023752848307291,0.0015528030716863016,0.0001,"(100,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",0.7957,0.803,0.8039,0.8008666666666666,0.0036718145680606352,130,0.8049,0.8047,0.80015,0.8032499999999999,0.002193551154330923
115,5.7563356558481855,0.9208735168999879,0.010905583699544271,0.0009489039546726301,0.0001,"(100,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",0.7949,0.8052,0.8138,0.8046333333333333,0.007726289895904439,75,0.8092,0.80545,0.8062,0.8069500000000001,0.0016201851746019751
116,5.964993397394816,0.42549790700299406,0.011030991872151693,0.001449132291451357,0.0001,"(100,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",0.8012,0.8077,0.8109,0.8066,0.00403567425180309,36,0.80815,0.8074,0.804,0.8065166666666667,0.0018057008488549585
117,6.7992293039957685,0.9597580701600544,0.010238091150919596,0.0010680788027798349,0.0001,"(100,)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",0.7989,0.8078,0.8125,0.8064,0.005639739946723285,40,0.8078,0.80755,0.80265,0.8059999999999999,0.0023710054126185936
