,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2598717212677002,0.2410030578051298,0.0012235641479492188,0.00018103975352305466,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 2}",0.44656488549618323,0.4681933842239186,0.4661558109833972,0.49744245524296676,0.49167733674775926,0.47396630934150075,0.018494147122589667,125,0.47477650063856963,0.46360153256704983,0.47081339712918663,0.46811224489795916,0.49218999043672296,0.47389873313389763,0.00984251648097101
1,0.3004657745361328,0.06350670082765363,0.0013992786407470703,3.0848452859625864e-05,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 5}",0.4707379134860051,0.46055979643765904,0.4891443167305236,0.4731457800511509,0.47631241997439183,0.47396630934150075,0.009242217457505418,125,0.4821200510855683,0.46998722860791825,0.48229665071770333,0.46875,0.4740197641058336,0.4754347389034047,0.005799008346675854
2,0.5020993709564209,0.05343755997008205,0.0019199371337890625,0.00025755512383768796,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 10}",0.4961832061068702,0.49236641221374045,0.4904214559386973,0.47058823529411764,0.5032010243277849,0.4905564063297601,0.01088422497333586,117,0.5012771392081737,0.4945721583652618,0.47655502392344495,0.4830994897959184,0.49760918074593563,0.4906225984077469,0.00929972484916632
3,0.6804101467132568,0.10136355754688411,0.002141380310058594,6.514974283440816e-05,0.1,"(100,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 15}",0.49872773536895676,0.49745547073791346,0.508301404853129,0.5217391304347826,0.49295774647887325,0.5038284839203675,0.010244469712323493,94,0.4901021711366539,0.5009578544061303,0.5161084529505582,0.5089285714285714,0.5004781638508129,0.5033150427545454,0.00875633763433989
4,0.8611587524414063,0.08746104164070387,0.0024751663208007813,2.4814598382571967e-05,0.1,"(100,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 20}",0.4961832061068702,0.5216284987277354,0.51213282247765,0.5281329923273658,0.5185659411011524,0.5153139356814701,0.010878845888631054,26,0.5124521072796935,0.5153256704980843,0.5154704944178629,0.5105229591836735,0.5109977685686962,0.5129537999896021,0.0020950542748463894
5,0.9971604824066163,0.09237560793514774,0.0029326915740966798,0.00013210632120025826,0.1,"(100,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 25}",0.49872773536895676,0.5203562340966921,0.5031928480204342,0.5012787723785166,0.5044814340588989,0.5056151097498723,0.007634877176077603,89,0.527139208173691,0.5280970625798213,0.5240829346092504,0.5019132653061225,0.5106789926681543,0.5183822926674079,0.010335640621554865
6,1.1603058338165284,0.06525365971873137,0.0032063961029052735,2.3634774187241873e-05,0.1,"(100,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 30}",0.4961832061068702,0.5127226463104325,0.5019157088122606,0.530690537084399,0.5134443021766966,0.510974987238387,0.011819685127645363,60,0.5124521072796935,0.5233077905491699,0.513237639553429,0.5175382653061225,0.5094038890659867,0.5151879383508803,0.004820782087962399
7,1.2020273685455323,0.2551538630797807,0.003475666046142578,3.34119630026609e-05,0.1,"(100,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 35}",0.49872773536895676,0.5152671755725191,0.4891443167305236,0.5383631713554987,0.5070422535211268,0.5096988259315978,0.01673917735219827,64,0.49936143039591313,0.5185185185185185,0.48995215311004786,0.5210459183673469,0.503665922856232,0.5065087886496118,0.011737551263105966
8,1.3678554534912108,0.24457197191288033,0.0038477897644042967,0.00011340751572179056,0.1,"(100,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 40}",0.5050890585241731,0.510178117048346,0.49169859514687103,0.5076726342710998,0.5172855313700384,0.5063808065339459,0.008387175998862968,84,0.5194763729246488,0.5022349936143039,0.5244019138755981,0.515625,0.511954096270322,0.5147384753369746,0.007492736027582559
9,1.6138210773468018,0.18491417206685348,0.004547309875488281,6.22732533203583e-05,0.1,"(100,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 50}",0.5343511450381679,0.5254452926208651,0.5095785440613027,0.5140664961636828,0.5032010243277849,0.5173557937723329,0.011191929599470648,16,0.527139208173691,0.5191570881226054,0.5311004784688995,0.5220025510204082,0.5173732865795346,0.5233545224730276,0.005090091254411863
10,1.94964919090271,0.1257940473503372,0.005257368087768555,0.00011000231217544106,0.1,"(100,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'gmm__n_components': 60}",0.510178117048346,0.5343511450381679,0.5146871008939975,0.5434782608695652,0.5147247119078106,0.5234813680449208,0.013029168880744776,2,0.5242656449553001,0.5399106002554278,0.5416267942583732,0.5427295918367347,0.5307618744022952,0.5358589011416262,0.007173207342968592
