,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.27861175537109373,0.11696831739220373,0.0012881755828857422,0.00023378655289632626,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",0.4440203562340967,0.45038167938931295,0.46998722860791825,0.4744245524296675,0.4647887323943662,0.4606942317508933,0.011633433203638757,68,0.4706257982120051,0.44604086845466157,0.46921850079744815,0.47385204081632654,0.472425884603124,0.46643261857671303,0.010316340749265952
1,0.27065329551696776,0.09857351188920764,0.001127767562866211,4.2515962618211625e-05,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",0.45674300254452926,0.49872773536895676,0.49680715197956576,0.4475703324808184,0.4494238156209987,0.4698825931597754,0.02300494843386472,60,0.4888250319284802,0.49201787994891444,0.49569377990430624,0.44706632653061223,0.4520242269684412,0.4751254490561509,0.02105739701421174
2,0.2865170955657959,0.0594088245119383,0.0012197017669677735,8.606618786455358e-05,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",0.47837150127226463,0.510178117048346,0.4674329501915709,0.5242966751918159,0.5249679897567221,0.5010209290454314,0.023825114138319423,40,0.5089399744572158,0.5226692209450831,0.49792663476874005,0.5038265306122449,0.523748804590373,0.5114222330747313,0.010241353219820063
3,0.2579488754272461,0.08187195111751092,0.0011644363403320312,3.383897999201012e-05,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",0.4910941475826972,0.5038167938931297,0.4827586206896552,0.5498721227621484,0.5390524967989757,0.5132720775906074,0.026505298547944173,33,0.4987228607918263,0.5322477650063857,0.5282296650717704,0.5290178571428571,0.5323557539050048,0.524114780383569,0.012804539052337414
4,0.2875338077545166,0.060493697994709605,0.0011663436889648438,1.730071404172298e-05,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",0.5254452926208651,0.5267175572519084,0.49808429118773945,0.5421994884910486,0.5467349551856594,0.5278203164880041,0.017049028519524067,15,0.5383141762452107,0.5312899106002554,0.5492822966507177,0.5392219387755102,0.5406439273190947,0.5397504499181578,0.0057546039940255395
5,0.28913106918334963,0.07432631035603046,0.0011774539947509766,3.9871285803814105e-05,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",0.5279898218829516,0.5152671755725191,0.5197956577266922,0.5562659846547314,0.5454545454545454,0.5329249617151608,0.015553711629174443,6,0.5421455938697318,0.5402298850574713,0.5585326953748007,0.5462372448979592,0.5400063755180108,0.5454303589435947,0.006922087710100007
6,0.16770014762878419,0.042972173411917704,0.0008984565734863281,6.182954570739361e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.4211195928753181,0.4389312977099237,0.4495530012771392,0.4309462915601023,0.471190781049936,0.44231750893312916,0.01717254791208979,72,0.45817369093231164,0.4332694763729246,0.4449760765550239,0.43654336734693877,0.4711507810009563,0.44882267844163104,0.0140958541431508
7,0.19703421592712403,0.05867297402342289,0.0008758068084716797,1.7870009295269032e-05,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.4707379134860051,0.4910941475826972,0.4878671775223499,0.4846547314578005,0.4852752880921895,0.48392036753445633,0.006983743509336299,50,0.48531289910600256,0.493933588761175,0.47878787878787876,0.4961734693877551,0.4625438316863245,0.48335033354582724,0.012116239353855002
8,0.18746275901794435,0.0538162127182804,0.0008539199829101562,7.5343288892347485e-06,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.48091603053435117,0.47455470737913485,0.48531289910600256,0.5051150895140665,0.49167733674775926,0.48749361919346607,0.010425016839301136,48,0.5019157088122606,0.4955300127713921,0.5052631578947369,0.4961734693877551,0.4909148868345553,0.49795944714013995,0.005053986446127272
9,0.25770134925842286,0.08096724757492352,0.0009034156799316406,8.059202540070704e-05,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.5139949109414759,0.5114503816793893,0.47509578544061304,0.5217391304347826,0.5467349551856594,0.5137825421133231,0.0230063324778299,32,0.5373563218390804,0.5207535121328225,0.539712918660287,0.5095663265306123,0.531399426203379,0.5277577010732364,0.011209885642117659
10,0.238511323928833,0.0682463053224178,0.0009228229522705078,1.087523291789889e-05,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.5203562340966921,0.539440203562341,0.5197956577266922,0.5140664961636828,0.5313700384122919,0.5250127616130679,0.009138846059024772,21,0.5376756066411239,0.5459770114942529,0.5668261562998405,0.5063775510204082,0.5326745298055467,0.5379061710522344,0.019611125023084538
