,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.16158466339111327,0.03164713802598328,0.001379108428955078,0.00017066471528260694,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 2}",0.4491094147582697,0.45165394402035625,0.44189016602809705,0.4424552429667519,0.4660691421254802,0.450229709035222,0.008753997769100913,114,0.4562579821200511,0.45178799489144317,0.4615629984051037,0.4607780612244898,0.4517054510678993,0.4564184975417974,0.004222601371114466
1,0.12666568756103516,0.03615361293623445,0.0012242794036865234,1.1474846205905144e-05,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 3}",0.44274809160305345,0.44529262086513993,0.44699872286079184,0.4641943734015345,0.44814340588988477,0.44946401225114857,0.007576902212449098,117,0.45146871008939976,0.44891443167305234,0.4472089314194577,0.46970663265306123,0.4469238125597705,0.4528445036789483,0.0085846831686771
2,0.2341928005218506,0.1101471093016708,0.0012178897857666015,5.795876707624404e-06,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 4}",0.4529262086513995,0.4402035623409669,0.4623243933588761,0.42838874680306904,0.4737516005121639,0.45150587034201123,0.01596025387489518,113,0.4671136653895275,0.45178799489144317,0.4727272727272727,0.4499362244897959,0.47975773031558816,0.4642645775627255,0.011668239884852308
3,0.18239622116088866,0.016856957655291036,0.0013158321380615234,0.0001951118948706276,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 5}",0.5,0.5012722646310432,0.4929757343550447,0.47570332480818417,0.49167733674775926,0.49234303215926495,0.00912074902891595,79,0.4987228607918263,0.5015964240102171,0.4982456140350877,0.49043367346938777,0.4905961109340134,0.49591893664810643,0.004559163667519919
4,0.21011810302734374,0.0600421173986442,0.001226043701171875,5.67135611015563e-06,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 6}",0.47455470737913485,0.4580152671755725,0.4929757343550447,0.49232736572890023,0.49295774647887325,0.4821337417049515,0.013993048810399613,96,0.48084291187739464,0.45817369093231164,0.5023923444976076,0.4996811224489796,0.4902773350334715,0.48627348095795303,0.015966857797599383
5,0.3743717193603516,0.10905080025630806,0.0012372493743896484,5.845097815443301e-06,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 7}",0.5190839694656488,0.5025445292620865,0.4878671775223499,0.5051150895140665,0.5121638924455826,0.5053598774885145,0.010477013940138533,61,0.5210727969348659,0.5341634738186463,0.5074960127591707,0.5146683673469388,0.5266177876952503,0.5208036877109743,0.009242255480525268
6,0.27946105003356936,0.062278595967543766,0.0012297630310058594,7.0597669690405835e-06,0.1,"(100,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 8}",0.5216284987277354,0.5229007633587787,0.5095785440613027,0.5332480818414322,0.5236875800256082,0.5222052067381318,0.007536785260507043,51,0.5316091954022989,0.5354406130268199,0.5492822966507177,0.529655612244898,0.5323557539050048,0.5356686942459478,0.007056832875919047
7,0.3925477981567383,0.037895075101944536,0.0011927127838134766,2.3122718327604616e-05,0.1,"(100,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 9}",0.5470737913486005,0.5254452926208651,0.5312899106002554,0.520460358056266,0.5300896286811779,0.5308831036242981,0.00896444406383181,32,0.5363984674329502,0.5478927203065134,0.5508771929824562,0.5481505102040817,0.5537137392413134,0.547406526033463,0.005895654653890759
8,0.222698974609375,0.044152633484263,0.0011800289154052734,7.180477326996256e-06,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 10}",0.5318066157760815,0.5267175572519084,0.524904214559387,0.5179028132992327,0.5403329065300896,0.5283307810107197,0.0074639773041504185,37,0.5491698595146871,0.5424648786717752,0.5476874003189792,0.517219387755102,0.5403251514185528,0.5393733355358192,0.011544319382223969
9,0.3286124229431152,0.0717913164361272,0.001175832748413086,4.891707841198792e-06,0.1,"(100,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 11}",0.5470737913486005,0.5127226463104325,0.5491698595146871,0.5358056265984654,0.5505761843790012,0.5390505359877489,0.014178015355764077,22,0.5523627075351213,0.5462962962962963,0.5610845295055822,0.5602678571428571,0.531399426203379,0.5502821633366471,0.010892004016785856
10,0.3152911186218262,0.016596501853408756,0.0011897563934326171,4.574655515751441e-06,0.1,"(100,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'rp__n_components': 12}",0.5585241730279898,0.5318066157760815,0.5478927203065134,0.551150895140665,0.5608194622279129,0.5500255232261357,0.01026961791633163,4,0.5670498084291188,0.5539591315453385,0.5629984051036683,0.5602678571428571,0.5530761874402296,0.5594702779322425,0.005325227210288222
