,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11119613647460938,0.002312885925250965,0.0012152671813964843,0.0003444937234230451,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 2}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
1,0.10002527236938477,0.00607517028624824,0.0009029865264892578,2.5666333102230607e-05,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 3}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
2,0.13992862701416015,0.006636654070468354,0.0009381294250488282,2.2159028567757147e-05,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 4}",0.44529262086513993,0.44656488549618323,0.44699872286079184,0.4539641943734015,0.44814340588988477,0.44818785094435937,0.003025327785201074,22,0.44731800766283525,0.44699872286079184,0.4472089314194577,0.44834183673469385,0.4469238125597705,0.44735826224750974,0.0005117331338523491
3,0.13818769454956054,0.004965725521675217,0.0009371757507324219,4.014798974001176e-05,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 5}",0.44529262086513993,0.44783715012722647,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0010114721837861686,31,0.4479565772669221,0.44731800766283525,0.44688995215311006,0.44706632653061223,0.4469238125597705,0.4472309352346501,0.00039289382573837943
4,0.10780029296875,0.00221780719429987,0.0009813308715820312,5.354819717800591e-05,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 6}",0.44529262086513993,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44691168963757016,0.0009698080828149203,118,0.44731800766283525,0.44699872286079184,0.4472089314194577,0.44674744897959184,0.4472425884603124,0.44710313987659783,0.00020699026595760248
5,0.10540475845336914,0.002899025630340469,0.0009731292724609375,5.746423925812506e-05,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 7}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
6,0.11059870719909667,0.012015338832682923,0.0010062217712402343,7.07235832629812e-05,0.1,"(100,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 8}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.44688995215311006,0.44706632653061223,0.44628626075868666,0.44697571095361593,0.0003808520448235346
7,0.14262681007385253,0.0034956794577710518,0.0009991645812988282,2.434271206171623e-05,0.1,"(100,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 9}",0.4541984732824427,0.44529262086513993,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.4484430832057172,0.0030369724120645194,20,0.45849297573435505,0.454661558109834,0.4472089314194577,0.4477040816326531,0.4469238125597705,0.45099827189121405,0.004720217391815748
8,0.13347415924072265,0.009738512957695058,0.0010052204132080078,0.00011570592921071374,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 10}",0.44656488549618323,0.44656488549618323,0.44699872286079184,0.4475703324808184,0.44814340588988477,0.44716692189892804,0.0006112528289665497,31,0.44731800766283525,0.44731800766283525,0.4472089314194577,0.44706632653061223,0.4469238125597705,0.44716701716710217,0.00015273516259072412
9,0.1839324951171875,0.08007218168433386,0.0010137081146240235,9.67337249682882e-05,0.1,"(100,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 11}",0.44529262086513993,0.44656488549618323,0.4521072796934866,0.4475703324808184,0.44814340588988477,0.44793261868300155,0.0023003076193047656,24,0.4479565772669221,0.4466794380587484,0.44944178628389153,0.44674744897959184,0.4469238125597705,0.4475498126297849,0.0010524483062436044
10,0.17977700233459473,0.0778362059591652,0.0009316444396972656,1.5755554065214686e-05,0.1,"(100,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'ica__n_components': 12}",0.44529262086513993,0.44656488549618323,0.4521072796934866,0.4475703324808184,0.44814340588988477,0.44793261868300155,0.0023003076193047656,24,0.4479565772669221,0.4466794380587484,0.44944178628389153,0.44674744897959184,0.4469238125597705,0.4475498126297849,0.0010524483062436044
