,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.643747615814209,0.046080382176468655,0.09740896224975586,0.011210687677423756,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 2}",0.5063613231552163,0.4910941475826972,0.508301404853129,0.5140664961636828,0.5134443021766966,0.5066360387953037,0.008323879316525227,100,0.5022349936143039,0.5089399744572158,0.5106858054226475,0.5114795918367347,0.5065349059611094,0.5079750542584024,0.0033341670569604753
1,0.6107163906097413,0.08348736685021305,0.09436497688293458,0.0037394751336986562,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 3}",0.4720101781170484,0.5076335877862596,0.49680715197956576,0.4398976982097187,0.49167733674775926,0.48162327718223585,0.02383230710226301,132,0.4987228607918263,0.5073435504469987,0.5157894736842106,0.4649234693877551,0.5097226649665285,0.49930040385546387,0.018040578355279602
2,0.6824099063873291,0.0895654389475125,0.09148621559143066,0.006061542658693291,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 4}",0.49745547073791346,0.4821882951653944,0.4840357598978289,0.5153452685421995,0.5083226632522407,0.49744767738642165,0.01304489474728839,121,0.5166028097062579,0.5019157088122606,0.5094098883572568,0.5245535714285714,0.5109977685686962,0.5126959493746087,0.007559925397344382
3,0.6268505573272705,0.07098105052737863,0.0936694622039795,0.002677915134490037,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 5}",0.4847328244274809,0.5063613231552163,0.4955300127713921,0.5460358056265985,0.528809218950064,0.5122511485451761,0.022298379025729252,95,0.4984035759897829,0.5357598978288634,0.5409888357256778,0.5341198979591837,0.5253426840930826,0.5269229783193181,0.015123417486615113
4,1.7436841964721679,1.5602411440410746,0.7798541069030762,1.3379102759071402,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 6}",0.5254452926208651,0.5241730279898219,0.5146871008939975,0.510230179028133,0.5428937259923176,0.5234813680449208,0.011246807014863105,81,0.5233077905491699,0.5472541507024266,0.5311004784688995,0.514030612244898,0.5371373924131335,0.5305660848757054,0.011384760796395187
5,0.7246337890625,0.15417652815743793,0.22506656646728515,0.22834481311817775,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 7}",0.5318066157760815,0.5203562340966921,0.5389527458492975,0.5575447570332481,0.5544174135723432,0.5405819295558959,0.013915181263579098,56,0.5316091954022989,0.5446998722860792,0.5585326953748007,0.5551658163265306,0.5505259802358942,0.5481067119251207,0.009467413086471308
6,1.0929154872894287,0.2638101614947088,0.09984469413757324,0.004928295969933014,0.1,"(100,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 8}",0.5572519083969466,0.5407124681933843,0.5402298850574713,0.5601023017902813,0.5659411011523687,0.552833078101072,0.010484729238277302,33,0.5555555555555556,0.5654533844189017,0.5668261562998405,0.5618622448979592,0.5620019126554032,0.5623398507655321,0.003903588097762331
7,0.7605348110198975,0.1125603312204105,0.5364367485046386,0.5892402251800674,0.1,"(100,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 9}",0.5458015267175572,0.5470737913486005,0.5517241379310345,0.5537084398976982,0.5697823303457106,0.5535987748851455,0.008581970928234522,30,0.5549169859514687,0.5740740740740741,0.5728867623604466,0.5790816326530612,0.5658272234619063,0.5693573357001914,0.00836960952429321
8,0.7292235851287842,0.1598335488583462,0.32848029136657714,0.2876747543207896,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 10}",0.5597964376590331,0.5432569974554707,0.5491698595146871,0.5588235294117647,0.5761843790012804,0.557427258805513,0.011205192625274729,22,0.5667305236270753,0.5530012771392082,0.5885167464114832,0.5676020408163265,0.5553076187440229,0.5662316413476234,0.01259467818462331
9,1.0110164165496827,0.3430282058410664,0.09242668151855468,0.006207319399810474,0.1,"(100,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 11}",0.5534351145038168,0.5483460559796438,0.5632183908045977,0.5549872122762148,0.5659411011523687,0.5571720265441552,0.006481964859514047,23,0.5600255427841635,0.5823754789272031,0.5964912280701754,0.5889668367346939,0.5655084475613643,0.5786735068155201,0.013843365029713218
10,1.3264898777008056,1.0277771444157398,0.46622800827026367,0.5757166189327233,0.1,"(100,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'filter__n': 12}",0.5534351145038168,0.5483460559796438,0.5632183908045977,0.5549872122762148,0.5659411011523687,0.5571720265441552,0.006481964859514047,23,0.5600255427841635,0.5823754789272031,0.5964912280701754,0.5889668367346939,0.5655084475613643,0.5786735068155201,0.013843365029713218
